run_id,task_type,model,feature,importance_mean,importance_std
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,shift_work,0.008448044995607251,0.00025859369304171196
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,room_temperature_celsius,0.003227701039614598,0.0005179233779482063
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,deep_sleep_percentage,0.0031311681756641674,0.001039891072181295
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,sleep_aid_used,0.001737114594047277,0.00028342352530865664
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,caffeine_mg_before_bed,0.0015921271378550965,0.00011765878580602406
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,exercise_day,0.001428897687933639,0.0003854654320449625
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,chronotype,0.0013060830769508665,0.0003125138537366909
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,age,0.001231992387902725,0.0002716667068126281
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,nap_duration_mins,0.0008547974474914696,0.00042006774589277576
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,heart_rate_resting_bpm,0.0007483647416038167,0.00020499970044899783
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,alcohol_units_before_bed,0.0006746254819432288,0.00030564294833551137
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,screen_time_before_bed_mins,0.00037586076018355136,0.00017775641997678335
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,person_id,8.859004316352781e-05,5.491613279295996e-05
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,country,4.87309228721274e-05,3.704221088589779e-05
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,steps_that_day,2.7105719552333873e-05,3.0043039431167567e-05
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,gender,2.696063214865004e-06,2.3616099012679795e-05
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,season,-3.359173582177336e-05,1.740037209640295e-05
